Bulan,SUM of Pertumbuhan PDB,5.28,,,,,Q2-2025,,,SUM of Pertumbuhan PDB,Tahun,,,,
Sep-2000,4.42,5.28,,,,,4.42,,,Bulan,2003,2008,2013,2018,2023
Dec-2000,5.72,5.28,,,,,5.72,,,3,4.91,6.22,5.54,5.07,5.03
Mar-2001,3.87,5.28,,,,,3.87,,,6,5.03,6.3,5.59,5.27,5.17
Jun-2001,5.77,5.28,,,,,5.77,,,9,4.56,6.25,5.52,5.17,4.94
Sep-2001,3.44,5.28,,,,,3.44,,,12,4.63,5.28,5.58,5.18,5.04
Dec-2001,1.56,5.28,,,,,1.56,,,,,,,,
Mar-2002,3.52,5.28,,,,,3.52,,,,,,,,
Jun-2002,4.21,5.28,,,,,4.21,,,,,,,,
Sep-2002,5.55,5.28,,,,,5.55,,,,,,,,
Dec-2002,4.68,5.28,,,,,4.68,,,,,,,,
Mar-2003,4.91,5.28,,,,,4.91,,,,,,,,
Jun-2003,5.03,5.28,,,,,5.03,,,,,,,,
Sep-2003,4.56,5.28,,,,,4.56,,,,,,,,
Dec-2003,4.63,5.28,,,,,4.63,,,,,,,,
Mar-2004,4.10,5.28,,,,,4.10,,,,,,,,
Jun-2004,4.39,5.28,,,,,4.39,,,,,,,,
Sep-2004,4.50,5.28,,,,,4.50,,,,,,,,
Dec-2004,7.16,5.28,,,,,7.16,,,,,,,,
Mar-2005,5.96,5.28,,,,,5.96,,,,,,,,
Jun-2005,5.87,5.28,,,,,5.87,,,,,,,,
Sep-2005,5.84,5.28,,,,,5.84,,,,,,,,
Dec-2005,5.11,5.28,,,,,5.11,,,,,,,,
Mar-2006,5.13,5.28,,,,,5.13,,,,,,,,
Jun-2006,4.93,5.28,,,,,4.93,,,,,,,,
Sep-2006,5.86,5.28,,,,,5.86,,,,,,,,
Dec-2006,6.06,5.28,,,,,6.06,,,,,,,,
Mar-2007,6.06,5.28,,,,,6.06,,,,,,,,
Jun-2007,6.73,5.28,,,,,6.73,,,,,,,,
Sep-2007,6.74,5.28,,,,,6.74,,,,,,,,
Dec-2007,5.84,5.28,,,,,5.84,,,,,,,,
Mar-2008,6.22,5.28,,,,,6.22,,,,,,,,
Jun-2008,6.30,5.28,,,,,6.30,,,,,,,,
Sep-2008,6.25,5.28,,,,,6.25,,,,,,,,
Dec-2008,5.28,5.28,,,,,5.28,,,,,,,,
Mar-2009,4.52,5.28,,,,,4.52,,,,,,,,
Jun-2009,4.14,5.28,,,,,4.14,,,,,,,,
Sep-2009,4.27,5.28,,,,,4.27,,,,,,,,
Dec-2009,5.60,5.28,,,,,5.60,,,,,,,,
Mar-2010,5.99,5.28,,,,,5.99,,,,,,,,
Jun-2010,6.29,5.28,,,,,6.29,,,,,,,,
Sep-2010,5.81,,5.00,5.38,,,5.81,,,,,,,,
Dec-2010,6.81,,5.00,,,,6.81,,,,,,,,
Mar-2011,6.48,,5.00,,,,6.48,,,,,,,,
Jun-2011,6.27,,5.00,,,,6.27,,,,,,,,
Sep-2011,6.01,,5.00,,,,6.01,,,,,,,,
Dec-2011,5.94,,5.00,,,,5.94,,,,,,,,
Mar-2012,6.11,,5.00,,,,6.11,,,,,,,,
Jun-2012,6.21,,5.00,,,,6.21,,,,,,,,
Sep-2012,5.94,,5.00,,,,5.94,,,,,,,,
Dec-2012,5.87,,5.00,,,,5.87,,,,,,,,
Mar-2013,5.54,,5.00,,,,5.54,,,,,,,,
Jun-2013,5.59,,5.00,,,,5.59,,,,,,,,
Sep-2013,5.52,,5.00,,,,5.52,,,,,,,,
Dec-2013,5.58,,5.00,,,,5.58,,,,,,,,
Mar-2014,5.12,,5.00,,,,5.12,,,,,,,,
Jun-2014,4.94,,5.00,,,,4.94,,,,,,,,
Sep-2014,4.93,,5.00,,,,4.93,,,,,,,,
Dec-2014,5.05,,5.00,,,,5.05,,,,,,,,
Mar-2015,4.83,,5.00,,,,4.83,,,,,,,,
Jun-2015,4.74,,5.00,,,,4.74,,,,,,,,
Sep-2015,4.78,,5.00,,,,4.78,,,,,,,,
Dec-2015,5.15,,5.00,,,,5.15,,,,,,,,
Mar-2016,4.94,,5.00,,,,4.94,,,,,,,,
Jun-2016,5.21,,5.00,,,,5.21,,,,,,,,
Sep-2016,5.03,,5.00,,,,5.03,,,,,,,,
Dec-2016,4.94,,5.00,,,,4.94,,,,,,,,
Mar-2017,5.01,,5.00,,,,5.01,,,,,,,,
Jun-2017,5.01,,5.00,,,,5.01,,,,,,,,
Sep-2017,5.06,,5.00,,,,5.06,,,,,,,,
Dec-2017,5.19,,5.00,,,,5.19,,,,,,,,
Mar-2018,5.07,,5.00,,,,5.07,,,,,,,,
Jun-2018,5.27,,5.00,,,,5.27,,,,,,,,
Sep-2018,5.17,,5.00,,,,5.17,,,,,,,,
Dec-2018,5.18,,5.00,,,,5.18,,,,,,,,
Mar-2019,5.07,,5.00,,,,5.07,,,,,,,,
Jun-2019,5.05,,5.00,,,,5.05,,,,,,,,
Sep-2019,5.02,,5.00,,,,5.02,,,,,,,,
Dec-2019,4.97,,5.00,,,,4.97,,,,,,,,
Mar-2020,2.97,,5.00,,,-2.14,2.97,,,,,,,,
Jun-2020,-5.32,,,,,-4.19,-5.32,,,,,,,,
Sep-2020,-3.49,,,,,5.05,-3.49,,,,,,,,
Dec-2020,-2.19,,,,,-0.4,-2.19,,,,,,,,
Mar-2021,-0.71,,,,,-0.93,-0.71,,,,,,,,
Jun-2021,7.07,,,,,3.3,7.07,,,,,,,,
Sep-2021,3.51,,,,,1.57,3.51,,,,,,,,
Dec-2021,5.02,,,,,1.05,5.02,,,,,,,,
Mar-2022,5.01,,,,,-0.94,5.01,,,,,,,,
Jun-2022,5.44,,,,,3.73,5.44,,,,,,,,
Sep-2022,5.72,,,,,1.83,5.72,,,,,,,,
Dec-2022,5.01,,,,,0.36,5.01,,,,,,,,
Mar-2023,5.03,,,,,-0.9,5.03,,,,,,,,
Jun-2023,5.17,,,,,3.86,5.17,,,,,,,,
Sep-2023,4.94,,,,,1.6,4.94,,,,,,,,
Dec-2023,5.04,,,,0.02,0.45,5.04,,,,,,,,
Mar-2024,5.11,,,,0.01,-0.83,5.11,,,,,,,,
Jun-2024,5.05,,,,-0.01,3.79,5.05,,,,,,,,
Sep-2024,4.95,,,,-0.02,1.5,4.95,,,,,,,,
Dec-2024,5.02,,,,0.01,0.53,5.02,,,,,,,,
Mar-2025,4.87,,,,-0.03,-0.98,4.87,,,,,,,,
Jun-2025,5.12,,,,,,5.12,,,,,,,,